,Water_100kVp_1FBP_3mm,Water_120kVp_2Safire_3mm,Water_100kVp_2Safire_3mm,Water_100kVp_1Safire_0-6mm,Water_100kVp_1Safire_3mm,Water_100kVp_2FBP_1-5mm,Water_120kVp_1Safire_3mm,Water_120kVp_1FBP_1-5mm,Water_120kVp_1Safire_0-6mm,Water_120kVp_1FBP_0-6mm,Water_120kVp_1Safire_1-5mm,Water_100kVp_2FBP_0-6mm,Water_100kVp_1Safire_1-5mm,Water_120kVp_2FBP_3mm,Water_120kVp_2FBP_0-6mm,Water_100kVp_1FBP_0-6mm,Water_120kVp_2Safire_0-6mm,Water_120kVp_1FBP_3mm,Water_100kVp_2Safire_0-6mm,Water_100kVp_2Safire_1-5mm,Water_100kVp_1FBP_1-5mm,Water_100kVp_2FBP_3mm,Water_120kVp_2Safire_1-5mm,Water_120kVp_2FBP_1-5mm
original_shape_Elongation,0.8206979321888082,0.8206979321888082,0.8206979321888082,0.8258193343923119,0.8206979321888082,0.6919916261427921,0.8206979321888082,0.6919916261427921,0.8258193343923119,0.8258193343923119,0.6919916261427921,0.8258193343923119,0.6919916261427921,0.8206979321888082,0.8258193343923119,0.8258193343923119,0.8258193343923119,0.8206979321888082,0.8258193343923119,0.6919916261427921,0.6919916261427921,0.8206979321888082,0.6919916261427921,0.6919916261427921
original_shape_Flatness,0.07962245772812032,0.07962245772812032,0.07962245772812032,0.03564407060583071,0.07962245772812032,0.11381268258291853,0.07962245772812032,0.11381268258291853,0.03564407060583071,0.03564407060583071,0.11381268258291853,0.03564407060583071,0.11381268258291853,0.07962245772812032,0.03564407060583071,0.03564407060583071,0.03564407060583071,0.07962245772812032,0.03564407060583071,0.11381268258291853,0.11381268258291853,0.07962245772812032,0.11381268258291853,0.11381268258291853
original_shape_LeastAxisLength,13.02406272123119,13.02406272123119,13.02406272123119,8.377410561475674,13.02406272123119,22.765096192736753,13.02406272123119,22.765096192736753,8.377410561475674,8.377410561475674,22.765096192736753,8.377410561475674,22.765096192736753,13.02406272123119,8.377410561475674,8.377410561475674,8.377410561475674,13.02406272123119,8.377410561475674,22.765096192736753,22.765096192736753,13.02406272123119,22.765096192736753,22.765096192736753
original_shape_MajorAxisLength,163.57272926318464,163.57272926318464,163.57272926318464,235.02956926881646,163.57272926318464,200.02249025411717,163.57272926318464,200.02249025411717,235.02956926881646,235.02956926881646,200.02249025411717,235.02956926881646,200.02249025411717,163.57272926318464,235.02956926881646,235.02956926881646,235.02956926881646,163.57272926318464,235.02956926881646,200.02249025411717,200.02249025411717,163.57272926318464,200.02249025411717,200.02249025411717
original_shape_Maximum2DDiameterColumn,131.16796875,131.16796875,131.16796875,192.46140366844858,131.16796875,167.53248941553284,131.16796875,167.53248941553284,192.46140366844858,192.46140366844858,167.53248941553284,192.46140366844858,167.53248941553284,131.16796875,192.46140366844858,192.46140366844858,192.46140366844858,131.16796875,192.46140366844858,167.53248941553284,167.53248941553284,131.16796875,167.53248941553284,167.53248941553284
original_shape_Maximum2DDiameterRow,152.81851203185073,152.81851203185073,152.81851203185073,166.4835029787312,152.81851203185073,117.474609375,152.81851203185073,117.474609375,166.4835029787312,166.4835029787312,117.474609375,166.4835029787312,117.474609375,152.81851203185073,166.4835029787312,166.4835029787312,166.4835029787312,152.81851203185073,166.4835029787312,117.474609375,117.474609375,152.81851203185073,117.474609375,117.474609375
original_shape_Maximum2DDiameterSlice,173.00628254899334,173.00628254899334,173.00628254899334,229.77322257878419,173.00628254899334,177.26952970061808,173.00628254899334,177.26952970061808,229.77322257878419,229.77322257878419,177.26952970061808,229.77322257878419,177.26952970061808,173.00628254899334,229.77322257878419,229.77322257878419,229.77322257878419,173.00628254899334,229.77322257878419,177.26952970061808,177.26952970061808,173.00628254899334,177.26952970061808,177.26952970061808
original_shape_Maximum3DDiameter,173.6181565454102,173.6181565454102,173.6181565454102,240.90675610090668,173.6181565454102,181.473171741921,173.6181565454102,181.473171741921,240.90675610090668,240.90675610090668,181.473171741921,240.90675610090668,181.473171741921,173.6181565454102,240.90675610090668,240.90675610090668,240.90675610090668,173.6181565454102,240.90675610090668,181.473171741921,181.473171741921,173.6181565454102,181.473171741921,181.473171741921
original_shape_MeshVolume,27100.63268852234,27100.63268852234,27100.63268852234,17871.248083579412,27100.63268852234,19164.35923075676,27100.63268852234,19164.35923075676,17871.248083579412,17871.248083579412,19164.35923075676,17871.248083579412,19164.35923075676,27100.63268852234,17871.248083579412,17871.248083579412,17871.248083579412,27100.63268852234,17871.248083579412,19164.35923075676,19164.35923075676,27100.63268852234,19164.35923075676,19164.35923075676
original_shape_MinorAxisLength,134.24380066877538,134.24380066877538,134.24380066877538,194.09196245608578,134.24380066877538,138.41388829607732,134.24380066877538,138.41388829607732,194.09196245608578,194.09196245608578,138.41388829607732,194.09196245608578,138.41388829607732,134.24380066877538,194.09196245608578,194.09196245608578,194.09196245608578,134.24380066877538,194.09196245608578,138.41388829607732,138.41388829607732,134.24380066877538,138.41388829607732,138.41388829607732
original_shape_Sphericity,0.20031597871575338,0.20031597871575338,0.20031597871575338,0.061218259474293636,0.20031597871575338,0.1278345603644849,0.20031597871575338,0.1278345603644849,0.061218259474293636,0.061218259474293636,0.1278345603644849,0.061218259474293636,0.1278345603644849,0.20031597871575338,0.061218259474293636,0.061218259474293636,0.061218259474293636,0.20031597871575338,0.061218259474293636,0.1278345603644849,0.1278345603644849,0.20031597871575338,0.1278345603644849,0.1278345603644849
original_shape_SurfaceArea,21781.518392175312,21781.518392175312,21781.518392175312,53997.427384369104,21781.518392175312,27091.43715825729,21781.518392175312,27091.43715825729,53997.427384369104,53997.427384369104,27091.43715825729,53997.427384369104,27091.43715825729,21781.518392175312,53997.427384369104,53997.427384369104,53997.427384369104,21781.518392175312,53997.427384369104,27091.43715825729,27091.43715825729,21781.518392175312,27091.43715825729,27091.43715825729
original_shape_SurfaceVolumeRatio,0.803727301960748,0.803727301960748,0.803727301960748,3.0214692970427404,0.803727301960748,1.4136364713294673,0.803727301960748,1.4136364713294673,3.0214692970427404,3.0214692970427404,1.4136364713294673,3.0214692970427404,1.4136364713294673,0.803727301960748,3.0214692970427404,3.0214692970427404,3.0214692970427404,0.803727301960748,3.0214692970427404,1.4136364713294673,1.4136364713294673,0.803727301960748,1.4136364713294673,1.4136364713294673
original_shape_VoxelVolume,27803.65817642212,27803.65817642212,27803.65817642212,18211.95615855977,27803.65817642212,19663.417728424072,27803.65817642212,19663.417728424072,18211.95615855977,18211.95615855977,19663.417728424072,18211.95615855977,19663.417728424072,27803.65817642212,18211.95615855977,18211.95615855977,18211.95615855977,27803.65817642212,18211.95615855977,19663.417728424072,19663.417728424072,27803.65817642212,19663.417728424072,19663.417728424072
original_firstorder_10Percentile,-30.0,-17.0,-19.0,-48.0,-20.0,-42.0,-17.0,-38.0,-44.0,-69.0,-25.0,-75.0,-28.0,-27.0,-69.0,-75.0,-44.0,-27.0,-48.0,-28.0,-41.0,-29.0,-25.0,-38.0
original_firstorder_90Percentile,29.0,19.0,19.0,46.0,19.0,40.0,19.0,39.0,44.0,68.0,26.0,73.0,27.0,28.0,69.0,73.0,44.0,28.0,46.0,26.0,41.0,29.0,26.0,39.0
original_firstorder_Energy,9495435.0,3584241.0,4012721.0,80311728.0,4161282.0,26089041.0,3543000.0,22917782.0,68933621.0,168060978.0,10281232.0,196547627.0,11746157.0,8190733.0,169366338.0,195672091.0,69111744.0,8112328.0,80834248.0,11516219.0,26392091.0,9159270.0,10158423.0,22774563.0
