,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
Unnamed: 0,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
Water_100dose_100kVp_1FBP_3mm,0.8206979321888082,0.0796224577281203,13.02406272123119,163.57272926318464,131.16796875,152.81851203185073,173.00628254899334,173.6181565454102,27100.63268852234,134.24380066877538,0.2003159787157533,21781.518392175312,0.803727301960748,27803.65817642212,-30.0,29.0,9495435.0,1.9950778565437437,31.0,3.06793116271536,98.0,18.367666916010737,-0.3395729417698817,0.0,-95.0,193.0,12.977132688974844,23.06871984618112,0.0109405156653909,14796156.97900772,0.2933713285150949,532.0505255588083,20.892388323377126,16.171168603630363,-0.1995455236981524,2.2975405646932554,1.5569909611990869,0.1934839610901764,0.9397951135109186,1.672764528985194,0.6659158768317159,0.6208581617647303,0.591286294786356,0.9772530639791704,0.9021315973395356,-0.0317549208593433,0.3270124769099753,0.5103587011580679,4.550414803183396,0.0856585534323109,3.970443242533441,0.2403974191399965,0.1408304132762295,9.100829606366792,2.632182192054254,0.963632881473086,4.5732428953296,3016.1755870649554,0.1690397123278011,2.8825304965188763,5234.624614694838,0.9306739474344732,21.23846886734293,17.47267836126212,364.12385809561175,0.9441956866346084,0.0586124628165824,0.1614926702137708,3.5830993144878542,0.0117127639621197,4563.21551601918,0.284707237857798,0.9837502217853316,21.29324679059417,1.6733142428052774,35.31141124380183,0.0956143745727053,0.059284351369314,2.483622206925855,13960.0297279274,0.8378510185844263,0.8915497997490937,0.261096024077978,0.9138428177437026,19.482839165140728,0.0545225267648936,638.7023733162283,0.2048436091456794,2.165249697487864,22.49615137908916,495.5301475304682,9798.881334188582,26.47346313974596,0.074920834006042,722.9589480436177,0.23186624375998,0.4865539941811844,11.228642981344416,0.0417354661545712,5.259405855308562,0.1747463991481253,462.7822419718566,57.12605919481615,0.0003923410986673,16.983565082489953,0.020557315003635,0.0089611545807208
Water_100dose_120kVp_2Safire_3mm,0.8206979321888082,0.0796224577281203,13.02406272123119,163.57272926318464,131.16796875,152.81851203185073,173.00628254899334,173.6181565454102,27100.63268852234,134.24380066877538,0.2003159787157533,21781.518392175312,0.803727301960748,27803.65817642212,-17.0,19.0,3584241.0,1.3926404092242106,19.0,3.2435248826522955,68.0,11.225721070028223,0.5988342767471838,1.0,-68.0,136.0,7.957201782447202,14.173093884522372,-0.0107389223336481,5585104.05121994,0.4317853792773511,200.51798776847815,12.7121636238521,3.133651212920976,-0.145955647979406,1.0218311175737569,0.7127709126035107,0.1812178631174579,0.5920527828412369,1.253972630275445,0.35706424833596,0.723573008172706,0.7160414158157938,0.9812651689088856,0.9175517899369984,-0.0307807824305179,0.2678093093380926,0.4913102878564329,3.5545479828632387,0.181655682522429,2.836858505051019,0.2139525479027474,0.26498719018316,7.109095965726477,2.046494427696822,0.4336505075443169,4.216128159073932,2608.8779353247774,0.1462129650465043,3.9502330616346377,7704.346522445777,0.4048558517977466,12.97528442526481,30.96424368099535,401.0962282127445,2.6229557965464205,0.0891425675801901,0.0857688467506929,1.1798493012481537,0.0094233440557547,6333.961856140909,0.4176455499370247,0.4413319693249186,12.998806558428203,2.6810182696421734,34.790563463242265,0.2324551252553846,0.0903215998654811,2.09839742490903,12962.692740604749,0.7828815101692601,0.8385576761410422,0.6814032333749318,0.8653699798130357,11.268838280692185,0.0786203022313199,317.3586776859504,0.2622798989140086,1.5747974865104843,14.362809917355372,7584.359504132231,106844.32396694216,574.9612490817264,0.1236062901744719,329.10743801652893,0.2719896181954784,0.5359039889227343,7.953917614930307,0.0725364789605264,4.740423053326208,0.067813708457098,7366.906701045011,105.32285602201,0.000343159634016,6.798797559569125,0.011563026711786,0.0052174533105929
Water_100dose_100kVp_2Safire_3mm,0.8206979321888082,0.0796224577281203,13.02406272123119,163.57272926318464,131.16796875,152.81851203185073,173.00628254899334,173.6181565454102,27100.63268852234,134.24380066877538,0.2003159787157533,21781.518392175312,0.803727301960748,27803.65817642212,-19.0,19.0,4012721.0,1.4631664102271411,20.0,3.327722685095486,80.0,11.847027839379509,-0.1656111640419212,0.0,-76.0,156.0,8.334755589938032,14.99634919797148,0.0411237201854489,6252778.290721893,0.4147987379405823,224.8630622098445,20.82623150488841,2.957511450868381,-0.0850578474169406,0.9808329240772018,0.6733592658614467,0.1823985877988541,0.5662516329533391,1.2399605419613635,0.3499726930720073,0.7343839932139902,0.727583665657,0.9897956892040392,0.938264933160049,-0.0302473009523598,0.2557656820070875,0.4757483655554079,4.555061725586593,0.1904359805535328,2.7688749351759947,0.2142361604096596,0.2775538585934278,9.110123451173184,2.0122333405321453,0.4135480474846621,4.279270178598259,2604.7554222944573,0.1459819213301831,4.18398652077679,7401.253881073811,0.4459721664093073,20.817967830521773,29.529283192288293,613.2363952250182,1.5078904353358973,0.0527615815376571,0.0932145310240025,2.0098521418797315,0.0055505155454145,6117.443849018253,0.4004141722880894,0.4860179039447985,20.85428861305974,2.499445714081946,51.906356216566905,0.1299045645115752,0.0531478359749276,2.1442454411675085,13036.489071577606,0.788384023174695,0.8448303363956561,0.6112034611851962,0.8718207516325817,18.19728359882744,0.0465047203103843,359.5919413919414,0.2634373197010559,1.6604221175649747,22.125274725274725,6683.43663003663,137999.6769230769,340.13258248506975,0.064193276394807,375.2798534798535,0.2749302955896363,0.5336121264683157,11.941891855717095,0.0360686644778777,4.629812123428937,0.0765005884660651,6512.564808866347,54.87518645504176,0.0003505672912525,13.152978203995838,0.007064282366611,0.0115163699091423
Water_100dose_100kVp_1Safire_0-6mm,0.8258193343923119,0.0356440706058307,8.377410561475674,235.0295692688165,192.46140366844855,166.4835029787312,229.77322257878416,240.90675610090668,17871.248083579412,194.09196245608575,0.0612182594742936,53997.427384369104,3.0214692970427404,18211.95615855977,-48.0,46.0,80311728.0,2.640643989012503,50.0,3.17117191916655,173.0,29.40418177895649,-1.0752566735112936,-1.0,-200.0,373.0,20.626229355014225,37.071006841662935,0.0126882278294622,25027954.643295296,0.1885555172565648,1373.1033713406896,72.02041488283945,85.21141677970265,0.2564167845660278,5.112653635896687,3.622164791855383,0.1676674461686773,1.4680938153876637,2.181815064664606,1.452739204821434,0.5200293212209048,0.4625901236323221,0.9846651498727907,0.9155310811620344,-0.0156120816746357,0.2345273648317795,0.443838610931288,8.464499073110774,0.0384528204629693,5.175968691700534,0.1991075380793318,0.0717460648071378,16.928998146221552,3.21543099446516,2.183704606938018,5.249305908030145,10472.198836413416,0.1791957364204896,3.466468266182436,11019.184428473647,2.279684521433614,74.1128507871321,14.227652292950037,1035.489681724846,0.2108113393356593,0.0155563374556532,0.2480106174978531,18.83974645385502,0.0041928308604535,9846.164305941533,0.184287440063448,2.372098068179705,74.23029727688353,1.3860681318720185,102.38786938232089,0.0213605662490414,0.0156276057421245,3.0908153457838377,46268.3318874079,0.8530390480098963,0.9122913705049228,0.1413814635634015,0.9325344058978392,69.29543318497954,0.0146180417643788,2422.237395199265,0.1390971284713026,3.875995654056664,76.0030435281957,298.3741816928908,21196.28890547835,4.295908353539964,0.0168640088364447,5034.748593086023,0.2891207415347435,0.5499496920144595,42.35415224844742,0.0097602277719859,5.461425734951009,0.2979808350444901,287.1119791313888,47.13461400094821,0.0001220996574868,97.91380401584566,0.0208383639796015,0.0113240805529339
Water_100dose_100kVp_1Safire_3mm,0.8206979321888082,0.0796224577281203,13.02406272123119,163.57272926318464,131.16796875,152.81851203185073,173.00628254899334,173.6181565454102,27100.63268852234,134.24380066877538,0.2003159787157533,21781.518392175312,0.803727301960748,27803.65817642212,-20.0,19.0,4161282.0,1.4814950299390677,20.0,3.220532505453212,78.0,12.115392117116192,-0.3039847559266939,0.0,-69.0,147.0,8.618918882216844,15.271427551724768,0.0035121888202795,6484271.832298279,0.4098247993658526,233.12409273574252,12.648376660789705,4.494827453352837,0.0273489044205254,1.2224482268801942,0.813311436514453,0.2047885507945985,0.6414260538481507,1.3246141568995538,0.3962305010708569,0.7070869883097415,0.6964742301854137,0.9841611576900384,0.9221807556328252,-0.0330900529297543,0.2888869445441803,0.4990219573087701,3.5419710347541047,0.1578349242843452,3.063944335297447,0.2261022256289802,0.2187271491677995,7.083942069508209,2.1810152008505983,0.5089399158486617,4.266001691284048,2633.6605391470043,0.1476018908898169,3.893429375586845,7312.5038950849075,0.4570550593999047,12.771675166732052,28.48820265650395,359.23303256178895,2.500456878037882,0.0927197635765621,0.0942951592089221,1.255576494850258,0.0111711645237603,6065.003490829231,0.395616767796274,0.4971121668852466,12.813093732606395,2.44214755294663,31.005084130584383,0.2203223616162228,0.0939995401116867,2.1478121748209054,13109.695769833224,0.7919891348318828,0.8477187778874715,0.5868364401185895,0.8744845928406737,11.222716491458568,0.0827732092147845,372.8068181818182,0.264777569731405,1.6605032928719008,13.890625,5267.308948863636,68793.84019886363,436.9949584653937,0.1335324868583797,363.27982954545456,0.2580112425748967,0.5142162966116425,7.10822086345126,0.0777108093152482,4.719575238747738,0.078910497113714,5106.714532521145,85.14632695240067,0.0003510589153332,10.191297644778995,0.0098130564330176,0.0081754332393609
Water_100dose_100kVp_2FBP_1-5mm,0.6919916261427921,0.1138126825829185,22.765096192736756,200.0224902541172,167.53248941553284,117.474609375,177.26952970061808,181.473171741921,19164.35923075676,138.41388829607732,0.1278345603644849,27091.43715825729,1.4136364713294671,19663.417728424072,-42.0,40.0,26089041.0,2.444864650902922,43.0,3.059399629457752,123.0,25.565892114314767,-0.6929629923131786,-1.0,-135.0,258.0,17.960715310883707,32.15152593113508,0.0060551002048277,20326480.35965538,0.2146534764774351,1033.2404219917362,42.37032499202756,43.32057757304472,0.1257572822504175,3.729686167487743,2.778069941055504,0.1417319934174175,1.2846024782376135,2.0154340032556446,1.116912180055424,0.5487837289450327,0.4993521330283967,0.9784931190828018,0.9017982324022836,-0.0192582533726159,0.2687258654813277,0.4702701742991383,6.490947286836829,0.050675621467299,4.746030783404262,0.1924123261454569,0.0917338247159593,12.981894573673658,2.9821473171460378,1.6269390271358115,4.93755579024166,4764.396703383786,0.1887786949593385,2.7714609473482468,5417.424439337507,1.7364705344057925,43.85830889927887,12.946746968856486,557.5677945954513,0.3330660621216597,0.0276093478620005,0.2429745529634238,10.984062918424652,0.0075888838980554,4866.183027976641,0.2098622948150038,1.806280212429878,43.93150834773866,1.4016979120776705,61.238522164630965,0.0381475940775706,0.0277964902267363,2.856758997420331,20429.5701346108,0.8634710660632128,0.9157741378995046,0.1481910796588546,0.9345986527282036,41.09825442218221,0.0260905014051629,1156.291871249318,0.1577048378681557,3.012956733838528,45.26827605019094,178.31151118385162,7666.108565193672,4.300377727671452,0.0311239893087625,2035.6082924168031,0.2776334277709769,0.5376951858060861,24.81678228150641,0.0180775551897346,5.326350013777995,0.2905143038275616,166.46296789864186,39.91119970280714,0.000281496541222,44.67324662092185,0.0267110106566572,0.0123401201844583
Water_100dose_120kVp_1Safire_3mm,0.8206979321888082,0.0796224577281203,13.02406272123119,163.57272926318464,131.16796875,152.81851203185073,173.00628254899334,173.6181565454102,27100.63268852234,134.24380066877538,0.2003159787157533,21781.518392175312,0.803727301960748,27803.65817642212,-17.0,19.0,3543000.0,1.3927696014841795,19.0,3.253131307478837,61.0,11.140734630128357,0.4978983354817015,0.0,-74.0,135.0,7.94992722178635,14.091318734910567,0.0680988958063236,5520840.717315674,0.4306690773553228,198.3173609363661,12.823520192752651,2.159748632149556,-0.0288156372762674,0.8558666735451349,0.6819904296902882,0.1097113635958996,0.5761076074823693,1.2371395008125292,0.3468456903666913,0.7293934000376391,0.7225338378254567,0.9820122815630692,0.9195801356584924,-0.022643931590163,0.218291591990926,0.4853438901244766,3.574831018859622,0.197020328143316,2.6786766180103623,0.170724300266657,0.2748648819455496,7.149662037719244,1.915302942173929,0.3844642758088557,4.203265149532443,2620.637729081433,0.1468720354806609,4.04761871991083,7684.428347251022,0.4046246761605455,12.928599450765006,30.23151936333576,389.1273328476153,2.571854290820552,0.0892875201604114,0.0899524174291564,1.2388188869382055,0.0099375118595135,6338.524883474567,0.4166135510111687,0.4408946296854873,12.962870318657274,2.586707742487233,33.3342895459295,0.2256218176461848,0.0903633086048093,2.085484743997013,13000.513137415037,0.7858654447368866,0.8416530507546592,0.6458710188773605,0.8692738477368607,11.287749015915256,0.079026647621593,332.17478052673584,0.2651035758393741,1.5917628497671037,14.558659217877096,7390.680766161213,100843.41660015962,582.9739274629778,0.1226290236765097,367.3383878691141,0.2931671092331318,0.55683064391177,8.226438216101862,0.0762052819789623,4.587802658587871,0.0702236171047469,7187.896801865467,108.28131184346869,0.000335924524236,6.96672696783291,0.0118219679854293,0.0050990553524984
Water_100dose_120kVp_1FBP_1-5mm,0.6919916261427921,0.1138126825829185,22.765096192736756,200.0224902541172,167.53248941553284,117.474609375,177.26952970061808,181.473171741921,19164.35923075676,138.41388829607732,0.1278345603644849,27091.43715825729,1.4136364713294671,19663.417728424072,-38.0,39.0,22917782.0,2.3544338884695897,40.0,3.1144198965424934,116.0,23.897615172689843,0.2361518345352246,0.0,-115.0,231.0,16.809669473994294,30.13414155145866,0.0247632652829579,17855690.659915924,0.2299316466506627,908.0107193543928,30.957215729657268,37.39314909750624,0.3714044098111446,3.473726906404712,2.5866583422894878,0.1456880722483153,1.2335785763442852,1.971818838303553,1.0523428838033178,0.5591060391275083,0.5123878626257874,0.9759634187051722,0.8973271928053111,-0.0189456782034903,0.2567764014491928,0.4754130121670228,5.54394318921488,0.0553340614294796,4.639651834662685,0.1791808261710559,0.1012126271893577,11.08788637842976,2.93452012402435,1.51509631217355,4.895855462113641,4525.448213012124,0.1793108888585515,3.030593981840937,5803.014898169427,1.532998789160915,32.13487598066408,14.3367937237499,447.9105317378556,0.5196445147998562,0.0397157121085572,0.2218509878478358,7.420163278437744,0.010530531051395,5162.680945651796,0.2240541910831322,1.6041691586714113,32.2264107124355,1.4585440067023856,46.57738503665045,0.0567256321381756,0.0400978604768901,2.792871747002577,20180.089901038627,0.8557124176018793,0.9091357964485788,0.1729501218377129,0.929616070984208,30.0089418218961,0.0374954410227228,1074.5744616317866,0.1629624600594156,2.8715748013676645,33.65438277221717,250.6436154079466,7617.647861692448,8.642692273239573,0.0474973729142742,1770.6809220503487,0.268529105558136,0.526981265192231,18.027675723756733,0.0279983072750264,5.330488622418239,0.2612726840478643,235.99448023492465,52.0924656710902,0.0002833223685171,33.58585182663748,0.026865269245287,0.009831738567699
Water_100dose_120kVp_1Safire_0-6mm,0.8258193343923119,0.0356440706058307,8.377410561475674,235.0295692688165,192.46140366844855,166.4835029787312,229.77322257878416,240.90675610090668,17871.248083579412,194.09196245608575,0.0612182594742936,53997.427384369104,3.0214692970427404,18211.95615855977,-44.0,44.0,68933621.0,2.534447024775844,46.0,3.183038162920637,157.0,27.200412418055382,0.0756502395619438,0.0,-155.0,312.0,19.1023789481972,34.34475656074701,0.0033400389270295,21482136.95247733,0.2031366750432532,1179.5565802582291,56.81258156176681,66.539445913739,-0.0371306636562163,4.596460539103735,3.196822938050439,0.179038853590949,1.3752987470460716,2.105299093078368,1.2918326472523725,0.5349343070116475,0.4815392203998732,0.9844682178234788,0.9153340170112614,-0.0163440176147903,0.2397819964229189,0.4562431539130431,7.514161584491698,0.0427974290787875,5.0135486783340815,0.1858605485099004,0.0785785055235416,15.028323168983391,3.1418988575992106,1.948320869288544,5.200346548843822,10001.963415468856,0.1711492713119243,3.681827584502565,11871.30728952772,1.967640163472273,58.575239561943874,15.408350444900751,889.3024127310061,0.2905784124012742,0.0200112890339925,0.230701103795671,13.89700202682294,0.0051016971131932,10532.88981403489,0.198254991172065,2.0528678678796384,58.66368524431261,1.4221057652946965,83.03162100185997,0.0281157554110308,0.020128927349986,3.008167781763443,45663.65743045199,0.8452317964719392,0.9067538040330648,0.1554899642108483,0.928243622223548,54.5068125257206,0.0187569343442426,2336.218563813108,0.1465173135034874,3.5164217779425813,60.225964252116654,461.3951708999687,26335.206208842897,8.283353762639027,0.0221968135929034,4514.673753527752,0.2831404047367671,0.5432864320364436,33.306390582548346,0.012745641820616,5.441222265180825,0.2728439425051335,447.9622218544639,56.407425632474336,0.0001226707593947,79.0830023112839,0.0193318321045384,0.0097630321903113
