,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
Liver_40dose_100kVp_1FBP_0-6mm,0.8272973209189741,0.7967338036923435,19.57197397138821,24.565261170901536,31.758957630842755,33.398498136286875,29.87075354111874,34.4666875679266,5354.171026779804,20.322774754361742,0.29942747375072176,4942.9623749162,0.9231984466303236,5378.153875723947,16.0,181.0,228745722.0,3.4246983036132677,87.0,2.9965396392378048,323.0,51.488550842656096,98.69017938583156,99.0,-165.0,488.0,36.13441625602597,117.93957308968726,-0.0725647358285342,74808737.69106552,0.1085541539507989,4169.99139337007,136.61903102775588,753.5840507661627,-5.037866180722362,15.687586414043567,10.287797971998101,0.20523963005506632,2.5243978919913963,2.838373431787936,3.8424846343914023,0.4005947094686623,0.3152789618457729,0.9760938706737485,0.8943613182128735,-0.018969466027439742,0.28721676979214167,0.3199797854717167,11.630217340151207,0.01281532867146413,6.725464614246787,0.21743699335681185,0.025618890400866564,23.260434680302406,4.0228807145298795,6.493846096510416,6.158439655660981,2432.822195196108,0.14793689238042615,3.961070910793703,1785.1730617208877,6.7651298444440275,138.32861051991486,17.697233201581028,2479.1616904834295,0.14254907509524278,0.009402383185151545,0.2194631314699725,29.701724057202156,0.0027106964227723526,1556.0897153418666,0.10561684182427002,7.078545506712375,138.1588242598222,1.3848341089427352,191.9565701031585,0.012680393921296005,0.009545416713218373,3.979273132904119,12019.884121412499,0.8146943551232492,0.8959141193254906,0.13589712911360013,0.9212357091224646,127.14923574139377,0.008897767676256088,285.0278232405892,0.07774899706508162,13.687092118221761,134.81314784506273,3286.8900709219856,455184.66612111294,24.495641231769767,0.012877093928445887,1426.582651391162,0.3891387483336503,0.6474141771266027,86.64053274314192,0.009103042804214876,5.8374394686652655,0.22292490118577074,3266.767529299331,8.539188082126298,0.00042734013492694024,291.9049165528216,0.06068467425435591,0.05845070976571478
Liver_40dose_100kVp_1FBP_3mm,0.7190947658469861,0.6953559544081062,13.629237720635691,19.600375367802858,22.374073883155617,21.13381936429976,16.258957961359574,22.915646321094165,2533.36704826355,14.09452733562323,0.7717419451500845,1164.5123463859409,0.45966980867779683,2567.2288513183594,77.0,137.0,19076777.0,2.038905887861054,31.0,2.952976240058656,185.0,18.72807172704775,107.67070063694267,107.0,37.0,148.0,13.083841273244403,110.23072791103294,0.028486412415146534,31193918.66532898,0.2868513935656619,557.8336001460506,14.650739089480311,16.676297749465228,0.07986448586916145,2.365855289330351,1.672905408594595,0.17296643852616095,0.9674593940325477,1.7180330202745855,0.7268658632145955,0.6158949969455509,0.5853165588351101,0.9690659942241392,0.8882267658447194,-0.024480602947163678,0.27131674545423873,0.5092191350580155,3.804911972992868,0.08390477120005936,4.051153962495215,0.20054462444569882,0.1730674329491377,7.609823945985736,2.6599942906672993,1.0096901744812365,5.510280008504118,121.90828025477707,0.07764858614953954,12.633447198669318,450.35668789808915,0.9919412552233356,15.587261146496814,66.69808917197452,1017.9503184713376,5.0488826422288655,0.09206898045842543,0.07455581368004426,1.2903729898640608,0.012482639526141249,312.92063313243,0.2635405380103335,1.1264945399797932,15.684363377136965,2.267702839185041,35.09589132303717,0.19458151530892848,0.09647859092911579,3.1422022744364564,738.0069441569578,0.6168569136643728,0.755658990690838,0.4809752656537774,0.8112595486091123,12.797086799952305,0.08128388569059322,18.876288659793815,0.19460091401849294,3.532575193963227,18.082474226804123,6375.360824742268,92788.10309278351,480.2313310891367,0.2008516843163382,34.896907216494846,0.35976193006695717,0.6180910701554244,11.478246857363603,0.1387492073078278,4.254520442296054,0.06178343949044586,6113.3882452970565,7.540413350686832,0.004464606683774304,13.38954073441938,0.03221234100211815,0.06569616270171548
Liver_40dose_120kVp_2FBP_0-6mm,0.8272973209189741,0.7967338036923435,19.57197397138821,24.565261170901536,31.758957630842755,33.398498136286875,29.87075354111874,34.4666875679266,5354.171026779804,20.322774754361742,0.29942747375072176,4942.9623749162,0.9231984466303236,5378.153875723947,32.0,186.0,260653085.0,3.3517347136839306,82.0,3.093043262617145,366.0,48.812460377936866,109.97488598358163,111.0,-147.0,513.0,34.15077340266849,125.89674327223554,-0.07302322996737304,85243684.96881443,0.1144957222639087,3755.514419453403,123.88744385807443,659.9696202761875,-5.62074980805563,14.458533173113135,9.215905534644122,0.21926106010635193,2.380519077011103,2.7676266821246065,3.4883570831652078,0.41340576977127846,0.3305220702178801,0.980351676204803,0.9036678694195799,-0.020453203459842265,0.30198095185683405,0.3342587761099369,11.071171106264632,0.014276375156639369,6.587402899950982,0.22835531747629792,0.02817069284908326,22.14234221252926,3.9642219210343086,5.9186096769393135,6.157971099546443,2337.569899665552,0.14214471873916398,4.365259485976501,1882.8821526299787,6.114836462069268,125.32617816965643,19.37458193979933,2463.2155062328975,0.1726242020926292,0.010483259014944707,0.20437718982209774,25.49229863557651,0.0027929818798877425,1627.7475057333384,0.11128676575630164,6.411739602036693,125.16300360178023,1.4139946205518656,177.57739642579423,0.014406600550500637,0.010655823070113181,3.933817662608713,11782.602878738198,0.8044408120970389,0.8894543583506794,0.14693385269188697,0.9163573595762224,114.56915388270394,0.009889573425811081,274.7027827116637,0.0813211316493972,12.861607304044105,123.62196566015393,4149.961219656601,539790.4064535227,32.98470470683924,0.014547047774023887,1275.5068087625814,0.37759230573196606,0.6378582251709367,79.9146198235445,0.009880861549117272,5.857494199321784,0.2054119793250228,4126.261213154037,8.015592187899072,0.0004276562943401968,309.03037924398427,0.046783171608447444,0.06801660342546
Liver_40dose_100kVp_1Safire_0-6mm,0.7238417180080723,0.6977445127627364,14.520013837557341,20.809929095773168,23.296639484927496,22.860814754192276,21.461011799675717,24.03366805864604,2402.8225584474276,15.06309482831062,0.29202402165122604,2970.8451387670884,1.236398055413083,2430.8797663883306,53.0,157.0,94958935.0,2.7811451162194247,55.0,3.0854566967437482,253.0,32.507861059131244,105.35705637024081,106.0,-65.0,318.0,22.896204515424714,113.02795009654488,-0.04600727690675392,31055260.827295125,0.1702232033313467,1675.20817602494,60.898291120530985,130.74205445337068,0.16342841830160634,6.565960166011174,4.319297112110319,0.20546579401018403,1.6189528183852924,2.2825787314100556,1.6688654433135848,0.4969266500556753,0.4327427253023197,0.9792958799724547,0.9022701251754045,-0.021886388416331917,0.28373318962958216,0.41959322377717245,7.767646813575236,0.03032838966436465,5.473551880010503,0.21288087477624656,0.06278300544498393,15.53529362715047,3.3961567274781097,2.721314319530374,5.920858145506552,820.7529934077761,0.11042015248322025,7.057057631790947,1265.2690703618996,2.77328867240745,62.63836943360689,30.661778555092155,1882.4336068882012,0.5563525280835322,0.020273168892042503,0.15012148068133027,9.712181845963594,0.003922552975352641,1036.0140707861024,0.163657907254477,2.9616097092475067,62.813303715845876,1.615068798270717,100.6995024707807,0.03188114792997466,0.02059865938995092,3.5169047870173484,4763.911714795634,0.7497136423370943,0.8515973465522773,0.22584227671837548,0.8880195089248034,55.90194279347239,0.01852094100477058,122.40585009140767,0.1118883456045774,6.682523754298835,65.11974405850091,5321.077696526509,317713.05758683727,93.95383650489617,0.028156786707495787,381.363802559415,0.34859579758630255,0.607725434317959,40.01711449439225,0.018114961729878625,5.33475898776377,0.1471814879591013,5274.914739362786,7.770025190925585,0.000945997617937941,93.27876970942192,0.03335306406821317,0.06567205419433873
Liver_40dose_120kVp_1Safire_0-6mm,0.7238417180080723,0.6977445127627364,14.520013837557341,20.809929095773168,23.296639484927496,22.860814754192276,21.461011799675717,24.03366805864604,2402.8225584474276,15.06309482831062,0.29202402165122604,2970.8451387670884,1.236398055413083,2430.8797663883306,69.0,165.0,112194704.0,2.6881105470728412,49.0,3.4479044358005537,297.0,30.185836578506635,116.69420153370106,117.0,-38.0,335.0,20.848554136764154,122.85818981350535,0.005522320663164262,36692026.8867924,0.18457262111510206,1476.598132663272,52.7058840110717,112.46564328694514,1.3739198940727444,5.6985968538286285,3.6639130781359985,0.21423955908109307,1.4684191948901382,2.186291136395788,1.486458537167704,0.5216408681680623,0.4649282079535691,0.9823468926040821,0.9104545023745748,-0.024285347426145448,0.2972491533683478,0.44498870106937694,7.224734732876096,0.03711527245292821,5.24743196980349,0.24375290897591043,0.07369498873771033,14.449469465752191,3.288582891415985,2.3406274829911564,5.9368681217373105,746.9155119063635,0.10048641354854884,8.461060915875619,1371.9282927485538,2.4461595291858718,54.08758240279833,36.3348580653841,1925.4221713978204,0.7579288844867728,0.023618063888398853,0.13453100177384253,7.583298477027781,0.004140528582355107,1092.0152901290649,0.17585232223103386,2.6498963137403546,54.25368928708297,1.7055779598494636,91.76005301194303,0.03902485950976493,0.02408466292106988,3.4924055045968734,4532.014442689823,0.7266664096564648,0.8354013805379339,0.2607199792567468,0.875639672468847,47.61652742098659,0.021417541416781087,116.0382626680455,0.11999820337957136,6.380915613380116,55.961737331954495,7230.491209927611,376100.2347466391,146.02898751651702,0.03426064670359672,321.3846949327818,0.33235232154372474,0.5944455217841911,34.23894750246335,0.020970194248979328,5.395830633690871,0.13009551997847438,7171.406471469561,8.112724487456571,0.0009405778643251112,87.30613677678195,0.027262822854195227,0.06980721130081202
Liver_40dose_120kVp_1Safire_1-5mm,0.6640503415566875,0.6376519559495701,13.810754507665568,21.658766006761557,22.14212459635762,26.314635129004852,18.90922626366888,26.817306407870884,2415.3617305755615,14.382510964486384,0.5535343248154581,1572.7548086582392,0.6511466952337049,2444.590530395508,89.0,145.0999999999999,42056945.0,2.000094244437629,29.0,3.622894377878849,192.0,17.900153018422614,116.34080267558528,117.0,15.0,177.0,12.123206782779684,118.59961168982211,-0.19648889086810953,34385287.45296478,0.3023418082571784,530.6855257771165,27.471164215449146,16.52334215206965,-0.13339390265968062,2.1392897108232605,1.3105423746593188,0.2312314160216628,0.8396799568540181,1.588567006779545,0.5950963534012532,0.6504370138897934,0.6269286063468885,0.9807241308504437,0.9117288780696969,-0.03786002586333401,0.2996814802222581,0.502886070964532,5.22141989417561,0.10285078188475211,3.792910311647868,0.2556150817070516,0.20861940619747196,10.44283978835122,2.5725295873740106,0.8624580213706446,5.7091877782093015,198.44481605351172,0.06636950369682666,17.921025044462592,904.0020066889632,0.9514995357993759,27.69665551839465,84.94180602006689,2323.718060200669,3.3058315534965375,0.04316585377183203,0.06522624811401434,1.845362338485598,0.003967378852759442,588.1225305680251,0.27151386422358653,1.1175707680642604,27.77733311895237,2.6437986613831197,72.90267307039285,0.10936077036748927,0.04451916888066982,3.2390341978839556,1290.698851700073,0.5869955380259777,0.7235914587085157,0.6571075695228482,0.7893309253832153,21.97866265262555,0.03604490270132527,32.55681818181818,0.1849819214876033,3.346558626033058,28.289772727272727,13578.727272727272,370170.23295454547,519.5596383880256,0.0689573911951144,48.51136363636363,0.2756327479338843,0.5379025150995514,15.53910685805077,0.0395979889526034,4.891725384447847,0.0588628762541806,13290.113507231406,8.010522995070389,0.0024197688529339033,17.086465208757446,0.020643487849119294,0.058600550631541154
Liver_40dose_120kVp_2FBP_3mm,0.7190947658469861,0.6953559544081062,13.629237720635691,19.600375367802858,22.374073883155617,21.13381936429976,16.258957961359574,22.915646321094165,2533.36704826355,14.09452733562323,0.7717419451500845,1164.5123463859409,0.45966980867779683,2567.2288513183594,91.0,149.0,23332570.0,1.9545650401138452,30.0,2.852742298923402,193.0,17.926883849243374,119.84331210191083,121.0,45.0,148.0,12.973852593253257,121.90779119539542,-0.0527317213506496,38152896.10153198,0.29919023084100776,499.09009858412105,18.838515215621264,13.190097714706914,-0.4183600948031513,2.0666838182369554,1.4725136633746507,0.16839738050214592,0.9065443222942198,1.6431122807789542,0.6394619831739163,0.6303907451954986,0.6027491013073468,0.9723553992099975,0.8941720256762579,-0.02706884110497273,0.27087870783646106,0.5080062144942118,4.3231743422483,0.09204034012028492,3.8623067623026377,0.2195692412350468,0.1612331908414261,8.6463486844966,2.558689797018906,0.8847993704029015,5.574494885169317,117.56433121019109,0.07488173962432552,14.427382855288247,469.7286624203822,0.8805148281877561,19.436305732484076,74.63312101910827,1422.5433121019107,4.380693213166371,0.0648646894001762,0.0645494867584955,1.394329869076961,0.006087676618068512,323.7645612348467,0.27849797718172015,0.9931542657720878,19.53929166332114,2.424066144792987,46.79013053495875,0.15113341685377993,0.06659074593956318,3.1102869038298477,706.1041587954294,0.599831365271319,0.7400293973542382,0.5424691188277524,0.7980996660840959,15.669335959511075,0.054243921193120354,21.89887640449438,0.24605479106173464,3.148844842822876,23.44943820224719,7290.337078651685,141484.64044943822,400.3128906468955,0.10284567759688146,25.786516853932586,0.2897361444262088,0.5549666281506344,13.057211703642817,0.0669099848033918,4.467230395959052,0.056687898089171976,6979.151622269914,7.010944920270625,0.004203626249538193,13.446689548104898,0.027531152134235244,0.06756602377522192
Liver_40dose_100kVp_1Safire_1-5mm,0.6640503415566875,0.6376519559495701,13.810754507665568,21.658766006761557,22.14212459635762,26.314635129004852,18.90922626366888,26.817306407870884,2415.3617305755615,14.382510964486384,0.5535343248154581,1572.7548086582392,0.6511466952337049,2444.590530395508,75.0,136.0,34819290.0,2.0499281166453915,32.0,3.1674681654717167,179.0,19.182341584546037,105.13311036789298,106.0,13.0,166.0,13.242841911569096,107.9131479090421,-0.06201655737620756,28467861.74217224,0.28572924240221026,592.2765960112301,22.787054412006498,17.316303502826514,0.13652983512502673,2.3395124020012377,1.544368895371373,0.20234854834138702,0.9164334717202223,1.6835732883611387,0.6945034070275415,0.6317472322911815,0.6036006950337083,0.9775609093469625,0.9047742340355297,-0.028938880958397417,0.2767678539458038,0.4989119112608006,4.7526979708590265,0.0887387669550313,3.985218112994313,0.21815512506477608,0.17520957689600808,9.505395941718053,2.6487473595347817,0.9709703243431528,5.695551245256794,209.12575250836122,0.06994172324694355,15.819361752105683,854.3304347826087,1.0084836858648114,23.32541806020067,75.13511705685619,1725.5969899665552,3.573797516191538,0.05365179993402044,0.07219405237813209,1.7409440870927335,0.005985024874027476,580.3218740333812,0.2612856138745143,1.1596691831146757,23.43293600025873,2.416604437314876,56.0016063987094,0.12391966733012404,0.05539565812325495,3.2105758779331524,1357.80747722118,0.6049402131201149,0.7422433753537434,0.5529004144572449,0.8026186168231638,18.88161229321312,0.04565570650039441,39.24120603015076,0.19719199010126007,3.4190045705916514,24.42211055276382,11187.899497487437,252577.05025125627,524.4785521356783,0.09190182061099146,54.437185929648244,0.2735536981389359,0.533770527766875,12.97221227373413,0.057730100293247294,4.83720672841143,0.0665551839464883,10962.145097346025,9.270196734704527,0.002363927541809958,17.77714703793395,0.023604420237019384,0.051511699497613195
Liver_40dose_120kVp_2FBP_1-5mm,0.7779268061830816,0.7587238603810433,16.428747382947364,21.65313131802206,25.938451836827237,24.361034911773682,23.1825014880651,26.968670788556906,3317.979772567749,16.84455129009176,0.5008327747756389,2148.0309713991383,0.6473912195482735,3353.749282836914,72.0,159.0,60277096.0,2.5420205266520433,45.0,3.196786121276443,239.0,27.37465592767177,116.2106289614822,117.0,-41.0,280.0,19.037220961261134,121.22113121219708,-0.1212508384514505,49281878.956970215,0.20205612559879102,1189.6523687414137,53.03691493695339,65.89737942122325,-0.759278509882948,4.539797551682761,2.9767820384288637,0.20431692674858487,1.3232509176299012,2.057044239353965,1.2069176323625497,0.5443108510916868,0.4933258484985187,0.9805519616686914,0.9065811625807854,-0.025662162638638877,0.2932600276695273,0.4617614179045249,7.255678149587827,0.04499621084606961,4.935836226629471,0.21968934497884487,0.08527580364067835,14.511356299175654,3.12602160350788,1.879144897527906,5.865020913769232,384.6991711360312,0.09378331817065608,9.635733220241235,828.8342272062408,1.9944095601175391,53.45806923451975,41.745002437835204,2270.3590931253048,0.8309970735695114,0.0226462845618327,0.12279911980249857,6.5958464898211195,0.003684419263772656,645.2512382407756,0.19169193155329126,2.173358438151454,53.33238123635098,1.8023823456859955,96.78560815736299,0.039409338960350156,0.023136511557919667,3.3993278323517333,2391.73334061225,0.7062025133782127,0.8205190713723136,0.2983593724918872,0.8638255579778524,45.99874266630569,0.020321418056220383,64.34567901234568,0.132398516486308,5.345679012345679,52.80246913580247,4924.753086419753,261031.87860082305,97.38942708146021,0.0326202240760188,162.39506172839506,0.334146217548138,0.5962894911619798,32.51664342195097,0.020649016410125075,5.193632084178711,0.11847879083373963,4853.513929109723,5.271457624396607,0.0017416680309085572,57.423656555977594,0.027411345024247923,0.0926540697281535
Liver_40dose_100kVp_1FBP_1-5mm,0.7779268061830816,0.7587238603810433,16.428747382947364,21.65313131802206,25.938451836827237,24.361034911773682,23.1825014880651,26.968670788556906,3317.979772567749,16.84455129009176,0.5008327747756389,2148.0309713991383,0.6473912195482735,3353.749282836914,61.0,150.0,50550719.0,2.571754683476456,47.0,3.0347145464227827,209.0,27.924836346494477,105.28303266699172,106.0,-22.0,231.0,19.445114808740108,111.01095544216064,-0.062312564280053356,41329701.9973526,0.19776227885649247,1238.9152606225312,33.912930815352624,69.44506309165271,0.06653409612330935,4.702816721586215,3.1946932629142384,0.1884013056683928,1.3698765330219707,2.0993030255887826,1.2977642614906642,0.5365949374828259,0.4839433562293839,0.9708875757591613,0.8879309504336154,-0.022971989863689004,0.2754155735182809,0.45863657844967726,5.790962595760471,0.04259397334595913,5.011809680747536,0.21356131845484866,0.08662520396623147,11.581925191520941,3.152240436164929,1.9743774961251135,5.833149678568723,400.4188200877621,0.09761550952895223,8.680521637302897,811.220867869332,2.077898759592365,34.976596782057534,38.93320331545588,1342.069722086787,1.2980567070626217,0.04013116646698407,0.12375698737154757,4.498759765675553,0.0074726224807392504,637.069293195157,0.18778030125694306,2.258535842010207,35.061752556551056,1.761525442883072,61.35918891167386,0.0673470322533609,0.04134658997072297,3.405473986862586,2434.2720324655447,0.7140651466927234,0.8269137006338372,0.28369034721426467,0.8687586450639285,30.51403759359081,0.036781870773588674,64.45267489711934,0.13261867262781757,5.627076665142509,36.97325102880659,5100.395061728395,174087.71193415637,160.66470404638,0.06730216242494558,162.32921810699588,0.33401073684567056,0.5952525951966535,22.30718589434677,0.043390124424644086,5.143046127641613,0.11847879083373963,5029.155904418365,9.097930354336226,0.0017250194135377836,38.02396749852769,0.04351241768466815,0.05372489424026957
