,Water_100kVp_1FBP_3mm,Water_120kVp_2Safire_3mm,Water_100kVp_2Safire_3mm,Water_100kVp_1Safire_0-6mm,Water_100kVp_1Safire_3mm,Water_100kVp_2FBP_1-5mm,Water_120kVp_1Safire_3mm,Water_120kVp_1FBP_1-5mm,Water_120kVp_1Safire_0-6mm,Water_120kVp_1FBP_0-6mm,Water_120kVp_1Safire_1-5mm,Water_100kVp_2FBP_0-6mm,Water_100kVp_1Safire_1-5mm,Water_120kVp_2FBP_3mm,Water_120kVp_2FBP_0-6mm,Water_100kVp_1FBP_0-6mm,Water_120kVp_2Safire_0-6mm,Water_120kVp_1FBP_3mm,Water_100kVp_2Safire_0-6mm,Water_100kVp_2Safire_1-5mm,Water_100kVp_1FBP_1-5mm,Water_100kVp_2FBP_3mm,Water_120kVp_2Safire_1-5mm,Water_120kVp_2FBP_1-5mm
original_shape_Sphericity,0.20031597871575338,0.20031597871575338,0.20031597871575338,0.061218259474293636,0.20031597871575338,0.1278345603644849,0.20031597871575338,0.1278345603644849,0.061218259474293636,0.061218259474293636,0.1278345603644849,0.061218259474293636,0.1278345603644849,0.20031597871575338,0.08392461547546104,0.061218259474293636,0.061218259474293636,0.20031597871575338,0.061218259474293636,0.1278345603644849,0.1278345603644849,0.20031597871575338,0.1278345603644849,0.1278345603644849
original_shape_SurfaceArea,21781.518392175312,21781.518392175312,21781.518392175312,53997.427384369104,21781.518392175312,27091.43715825729,21781.518392175312,27091.43715825729,53997.427384369104,53997.427384369104,27091.43715825729,53997.427384369104,27091.43715825729,21781.518392175312,23677.658569166008,53997.427384369104,53997.427384369104,21781.518392175312,53997.427384369104,27091.43715825729,27091.43715825729,21781.518392175312,27091.43715825729,27091.43715825729
original_shape_SurfaceVolumeRatio,0.803727301960748,0.803727301960748,0.803727301960748,3.0214692970427404,0.803727301960748,1.4136364713294673,0.803727301960748,1.4136364713294673,3.0214692970427404,3.0214692970427404,1.4136364713294673,3.0214692970427404,1.4136364713294673,0.803727301960748,2.842645935669304,3.0214692970427404,3.0214692970427404,0.803727301960748,3.0214692970427404,1.4136364713294673,1.4136364713294673,0.803727301960748,1.4136364713294673,1.4136364713294673
original_shape_VoxelVolume,27803.65817642212,27803.65817642212,27803.65817642212,18211.95615855977,27803.65817642212,19663.417728424072,27803.65817642212,19663.417728424072,18211.95615855977,18211.95615855977,19663.417728424072,18211.95615855977,19663.417728424072,27803.65817642212,8490.618941574823,18211.95615855977,18211.95615855977,27803.65817642212,18211.95615855977,19663.417728424072,19663.417728424072,27803.65817642212,19663.417728424072,19663.417728424072
original_firstorder_10Percentile,-48.0,-28.0,-32.0,-77.0,-32.0,-66.0,-27.0,-60.0,-69.0,-108.0,-40.0,-120.0,-45.0,-43.0,-112.0,-119.0,-69.0,-42.0,-77.0,-44.0,-67.0,-48.0,-40.0,-60.0
original_firstorder_90Percentile,49.0,29.0,31.0,75.0,32.0,65.0,28.0,60.0,69.0,108.0,40.0,117.0,43.0,43.0,112.0,118.0,69.0,42.0,75.0,43.0,65.0,47.0,40.0,60.0
original_firstorder_Energy,25375681.0,9075841.0,11002213.0,210966071.0,11446537.0,66413019.0,8444308.0,54392623.0,169388393.0,411675665.0,24418469.0,501596103.0,30224343.0,20373371.0,208518397.0,507284299.0,172452010.0,19111292.0,207740625.0,29904179.0,66812749.0,24591444.0,25036296.0,55268123.0
original_firstorder_Entropy,2.6649798350757488,1.9701534312217066,2.0890807562660982,3.3223551827729296,2.117803223604147,3.0983183183942993,1.9173403819015877,2.9554638694423128,3.165371346004031,3.7996053117044033,2.3954484300695964,3.940500529146246,2.5468837771728707,2.5153448372035054,3.8574883189888873,3.947979121624881,3.178224925209681,2.465288533444299,3.310731681578428,2.534143384745221,3.1018772709007947,2.6413454051656107,2.4164576085009792,2.9680847621538358
original_firstorder_InterquartileRange,50.0,30.0,32.0,80.0,34.0,69.0,29.0,62.0,72.0,112.0,42.0,125.0,46.0,45.0,117.0,125.0,72.0,43.0,80.0,45.0,69.0,49.0,42.0,62.0
original_firstorder_Kurtosis,3.055160330813834,3.250035829715074,3.3234033269286045,3.1692847804242112,3.4184088094248652,3.051357317888206,3.299933016813144,3.031628778745344,3.14787450284444,3.0305115463506405,3.1252937984628857,3.043416701353641,3.169971642553831,3.0425101288008105,3.0541023117379096,3.05884283743493,3.1761496395633713,3.063497247418742,3.1552394811992723,3.1593152072759025,3.0714769418785615,3.080738530307716,3.1528137118455306,3.045905072644534
