,Water_100kVp_1FBP_3mm,Water_120kVp_2Safire_3mm,Water_100kVp_2Safire_3mm,Water_100kVp_1Safire_0-6mm,Water_100kVp_1Safire_3mm,Water_100kVp_2FBP_1-5mm,Water_120kVp_1Safire_3mm,Water_120kVp_1FBP_1-5mm,Water_120kVp_1Safire_0-6mm,Water_120kVp_1FBP_0-6mm,Water_120kVp_1Safire_1-5mm,Water_100kVp_2FBP_0-6mm,Water_100kVp_1Safire_1-5mm,Water_120kVp_2FBP_3mm,Water_120kVp_2FBP_0-6mm,Water_100kVp_1FBP_0-6mm,Water_120kVp_2Safire_0-6mm,Water_120kVp_1FBP_3mm,Water_100kVp_2Safire_0-6mm,Water_100kVp_2Safire_1-5mm,Water_100kVp_1FBP_1-5mm,Water_100kVp_2FBP_3mm,Water_120kVp_2Safire_1-5mm,Water_120kVp_2FBP_1-5mm
original_shape_Elongation,0.8206979321888082,0.8206979321888082,0.8206979321888082,0.8258193343923119,0.8206979321888082,0.6919916261427921,0.8206979321888082,0.6919916261427921,0.8258193343923119,0.8258193343923119,0.6919916261427921,0.8258193343923119,0.6919916261427921,0.8206979321888082,0.8258193343923119,0.8258193343923119,0.8258193343923119,0.8206979321888082,0.8258193343923119,0.6919916261427921,0.6919916261427921,0.8206979321888082,0.6919916261427921,0.6919916261427921
original_shape_Flatness,0.07962245772812032,0.07962245772812032,0.07962245772812032,0.03564407060583071,0.07962245772812032,0.11381268258291853,0.07962245772812032,0.11381268258291853,0.03564407060583071,0.03564407060583071,0.11381268258291853,0.03564407060583071,0.11381268258291853,0.07962245772812032,0.03564407060583071,0.03564407060583071,0.03564407060583071,0.07962245772812032,0.03564407060583071,0.11381268258291853,0.11381268258291853,0.07962245772812032,0.11381268258291853,0.11381268258291853
original_shape_LeastAxisLength,13.02406272123119,13.02406272123119,13.02406272123119,8.377410561475674,13.02406272123119,22.765096192736753,13.02406272123119,22.765096192736753,8.377410561475674,8.377410561475674,22.765096192736753,8.377410561475674,22.765096192736753,13.02406272123119,8.377410561475674,8.377410561475674,8.377410561475674,13.02406272123119,8.377410561475674,22.765096192736753,22.765096192736753,13.02406272123119,22.765096192736753,22.765096192736753
original_shape_MajorAxisLength,163.57272926318464,163.57272926318464,163.57272926318464,235.02956926881646,163.57272926318464,200.02249025411717,163.57272926318464,200.02249025411717,235.02956926881646,235.02956926881646,200.02249025411717,235.02956926881646,200.02249025411717,163.57272926318464,235.02956926881646,235.02956926881646,235.02956926881646,163.57272926318464,235.02956926881646,200.02249025411717,200.02249025411717,163.57272926318464,200.02249025411717,200.02249025411717
original_shape_Maximum2DDiameterColumn,131.16796875,131.16796875,131.16796875,192.46140366844858,131.16796875,167.53248941553284,131.16796875,167.53248941553284,192.46140366844858,192.46140366844858,167.53248941553284,192.46140366844858,167.53248941553284,131.16796875,192.46140366844858,192.46140366844858,192.46140366844858,131.16796875,192.46140366844858,167.53248941553284,167.53248941553284,131.16796875,167.53248941553284,167.53248941553284
original_shape_Maximum2DDiameterRow,152.81851203185073,152.81851203185073,152.81851203185073,166.4835029787312,152.81851203185073,117.474609375,152.81851203185073,117.474609375,166.4835029787312,166.4835029787312,117.474609375,166.4835029787312,117.474609375,152.81851203185073,166.4835029787312,166.4835029787312,166.4835029787312,152.81851203185073,166.4835029787312,117.474609375,117.474609375,152.81851203185073,117.474609375,117.474609375
original_shape_Maximum2DDiameterSlice,173.00628254899334,173.00628254899334,173.00628254899334,229.77322257878419,173.00628254899334,177.26952970061808,173.00628254899334,177.26952970061808,229.77322257878419,229.77322257878419,177.26952970061808,229.77322257878419,177.26952970061808,173.00628254899334,229.77322257878419,229.77322257878419,229.77322257878419,173.00628254899334,229.77322257878419,177.26952970061808,177.26952970061808,173.00628254899334,177.26952970061808,177.26952970061808
original_shape_Maximum3DDiameter,173.6181565454102,173.6181565454102,173.6181565454102,240.90675610090668,173.6181565454102,181.473171741921,173.6181565454102,181.473171741921,240.90675610090668,240.90675610090668,181.473171741921,240.90675610090668,181.473171741921,173.6181565454102,240.90675610090668,240.90675610090668,240.90675610090668,173.6181565454102,240.90675610090668,181.473171741921,181.473171741921,173.6181565454102,181.473171741921,181.473171741921
original_shape_MeshVolume,27100.63268852234,27100.63268852234,27100.63268852234,17871.248083579412,27100.63268852234,19164.35923075676,27100.63268852234,19164.35923075676,17871.248083579412,17871.248083579412,19164.35923075676,17871.248083579412,19164.35923075676,27100.63268852234,17871.248083579412,17871.248083579412,17871.248083579412,27100.63268852234,17871.248083579412,19164.35923075676,19164.35923075676,27100.63268852234,19164.35923075676,19164.35923075676
original_shape_MinorAxisLength,134.24380066877538,134.24380066877538,134.24380066877538,194.09196245608578,134.24380066877538,138.41388829607732,134.24380066877538,138.41388829607732,194.09196245608578,194.09196245608578,138.41388829607732,194.09196245608578,138.41388829607732,134.24380066877538,194.09196245608578,194.09196245608578,194.09196245608578,134.24380066877538,194.09196245608578,138.41388829607732,138.41388829607732,134.24380066877538,138.41388829607732,138.41388829607732
original_shape_Sphericity,0.20031597871575338,0.20031597871575338,0.20031597871575338,0.061218259474293636,0.20031597871575338,0.1278345603644849,0.20031597871575338,0.1278345603644849,0.061218259474293636,0.061218259474293636,0.1278345603644849,0.061218259474293636,0.1278345603644849,0.20031597871575338,0.061218259474293636,0.061218259474293636,0.061218259474293636,0.20031597871575338,0.061218259474293636,0.1278345603644849,0.1278345603644849,0.20031597871575338,0.1278345603644849,0.1278345603644849
original_shape_SurfaceArea,21781.518392175312,21781.518392175312,21781.518392175312,53997.427384369104,21781.518392175312,27091.43715825729,21781.518392175312,27091.43715825729,53997.427384369104,53997.427384369104,27091.43715825729,53997.427384369104,27091.43715825729,21781.518392175312,53997.427384369104,53997.427384369104,53997.427384369104,21781.518392175312,53997.427384369104,27091.43715825729,27091.43715825729,21781.518392175312,27091.43715825729,27091.43715825729
original_shape_SurfaceVolumeRatio,0.803727301960748,0.803727301960748,0.803727301960748,3.0214692970427404,0.803727301960748,1.4136364713294673,0.803727301960748,1.4136364713294673,3.0214692970427404,3.0214692970427404,1.4136364713294673,3.0214692970427404,1.4136364713294673,0.803727301960748,3.0214692970427404,3.0214692970427404,3.0214692970427404,0.803727301960748,3.0214692970427404,1.4136364713294673,1.4136364713294673,0.803727301960748,1.4136364713294673,1.4136364713294673
original_shape_VoxelVolume,27803.65817642212,27803.65817642212,27803.65817642212,18211.95615855977,27803.65817642212,19663.417728424072,27803.65817642212,19663.417728424072,18211.95615855977,18211.95615855977,19663.417728424072,18211.95615855977,19663.417728424072,27803.65817642212,18211.95615855977,18211.95615855977,18211.95615855977,27803.65817642212,18211.95615855977,19663.417728424072,19663.417728424072,27803.65817642212,19663.417728424072,19663.417728424072
original_firstorder_10Percentile,-39.0,-23.0,-25.0,-61.0,-26.0,-55.0,-22.0,-49.0,-57.0,-89.0,-33.0,-97.0,-36.0,-35.0,-89.0,-95.0,-57.0,-34.0,-62.0,-37.0,-54.0,-38.0,-33.0,-49.0
original_firstorder_90Percentile,37.0,24.0,24.0,59.0,25.0,52.0,23.0,50.0,57.0,89.0,33.0,93.0,34.0,36.0,88.0,93.0,56.0,35.0,59.0,34.0,52.0,37.0,34.0,50.0
original_firstorder_Energy,16161222.0,6142451.0,6644346.0,130118672.0,7175881.0,43320084.0,5916319.0,37466246.0,116827986.0,283435206.0,16748298.0,327188822.0,19237880.0,13913172.0,280535518.0,317436251.0,115069252.0,13482066.0,135130874.0,19393817.0,42913677.0,15043844.0,17028482.0,37993506.0
